event,Sample Users,% of Attendance,Venue
2022-02-19 EPL (Arsenal vs Brentford),880,1.50%,Emirates Stadium 
2022-02-24 EPL (Arsenal vs Wolves),960,1.60%,Emirates Stadium 
2022-03-13 EPL (Arsenal vs Leicester),882,1.50%,Emirates Stadium 
2022-03-16 EPL (Arsenal vs Liverpool),909,1.50%,Emirates Stadium 
2021-07-06 Euro Semi-finals (Italy vs Spain),915,1.60%,Wembley Stadium 
2021-07-07 Euro Semi (England vs Denmark),"1,197",1.90%,Wembley Stadium 
2021-07-11 Euro Final (Italy vs England),"1,400",2.20%,Wembley Stadium 
2022-02-27 Carabao Final (Chelsea vs Liverpool),"1,621",1.90%,Wembley Stadium 
2022-02-12 EPL (Man Utd vs Southampton),708,1.00%,"Old Trafford, Manchester "
2022-02-15 EPL (Man Utd vs Brighton),670,0.90%,"Old Trafford, Manchester "
2022-02-26 EPL (Man Utd vs Watford),734,1.00%,"Old Trafford, Manchester "
2022-03-12 EPL (Man Utd sv Tottenham),736,1.00%,"Old Trafford, Manchester "
2021-11-06 Rugby Intl (England vs Tonga),"1,229",1.50%,Twickenham Stadium 
2021-11-13 Rugby Intl (England vs Australia),"1,256",1.50%,Twickenham Stadium 
2021-11-20 Rugby Intl (England vs South Africa),"1,319",1.60%,Twickenham Stadium 
2021-07-05 Wimbledon (Round of 16),462,1.60%,Wimbledon Lawn Tennis Club 
2021-07-06 Wimbledon (Women's Q/F),445,1.60%,Wimbledon Lawn Tennis Club 
2021-07-07 Wimbledon (Men's Q/F),473,1.80%,Wimbledon Lawn Tennis Club 
2021-07-09 Wimbledon (Men's Semi),417,1.70%,Wimbledon Lawn Tennis Club 
2021-07-15 The British Open (Round 1),217,0.80%,Royal St George's Golf Club 
2021-07-16 The British Open (Round 2),300,0.90%,Royal St George's Golf Club 
2021-07-17 The British Open (Round 3),276,0.90%,Royal St George's Golf Club 
2021-07-18 The British Open (Final Round),264,0.90%,Royal St George's Golf Club 
